epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,25.7549,0.94925,0.86952,1.08574,0.87376,0.93333,0.97,0.66248,1.29698,0.89481,1.20358,0.000665057,0.000665057,0.000665057
56,26.2061,1.02542,0.97533,1.09807,0.9215,0.89241,0.97,0.68292,1.26136,0.83501,1.16221,0.000650909,0.000650909,0.000650909
57,26.6602,0.96558,0.89962,1.0464,0.91894,0.9916,0.995,0.70569,1.22749,0.74202,1.13894,0.000636762,0.000636762,0.000636762
58,27.1257,1.02238,0.91314,1.1383,0.97595,0.95488,0.995,0.68403,1.21866,0.71209,1.13928,0.000622615,0.000622615,0.000622615
59,27.5808,0.9492,0.85,1.04656,0.98359,0.94264,0.995,0.68351,1.23102,0.73444,1.15083,0.000608468,0.000608468,0.000608468
60,28.0334,0.98267,0.90784,1.07511,0.98208,0.94117,0.995,0.6875,1.20939,0.79063,1.12149,0.000594321,0.000594321,0.000594321
61,28.4955,0.92186,0.85075,1.05243,0.99426,0.92194,0.995,0.694,1.19522,0.7842,1.10458,0.000580174,0.000580174,0.000580174
62,28.9544,0.93692,0.84172,1.07706,0.9806,0.94624,0.995,0.72082,1.19686,0.75682,1.10129,0.000566027,0.000566027,0.000566027
63,29.4221,0.90278,0.80742,1.04401,0.91683,0.95017,0.98389,0.67087,1.22832,0.7436,1.11914,0.00055188,0.00055188,0.00055188
64,29.8833,0.91874,0.8488,1.04452,0.97125,0.95863,0.995,0.66915,1.25298,0.79702,1.1505,0.000537733,0.000537733,0.000537733
65,30.3348,0.86906,0.85172,1.01282,0.95153,0.98791,0.995,0.68774,1.24657,0.79258,1.17015,0.000523586,0.000523586,0.000523586
66,30.7907,0.85595,0.79097,1.02157,0.95175,0.97859,0.995,0.67527,1.2121,0.75745,1.16641,0.000509438,0.000509438,0.000509438
67,31.2508,0.87143,0.77844,1.00281,0.94595,0.97584,0.995,0.68354,1.18552,0.77648,1.14969,0.000495291,0.000495291,0.000495291
68,31.7167,0.90227,0.83116,1.03557,0.95815,0.98673,0.995,0.67653,1.22017,0.75514,1.14139,0.000481144,0.000481144,0.000481144
69,32.1679,0.8956,0.86642,1.09133,0.98001,0.96194,0.995,0.69706,1.21704,0.73365,1.1301,0.000466997,0.000466997,0.000466997
70,32.6294,0.88226,0.81896,1.05761,0.98703,0.93857,0.995,0.69682,1.17246,0.75029,1.11795,0.00045285,0.00045285,0.00045285
71,33.0774,0.83615,0.81327,1.02128,0.95888,0.93807,0.995,0.70194,1.18592,0.72047,1.14207,0.000438703,0.000438703,0.000438703
72,33.5439,0.85812,0.7909,1.0281,0.955,0.92695,0.97595,0.67017,1.23341,0.74322,1.18435,0.000424556,0.000424556,0.000424556
73,33.9991,0.85865,0.7587,1.03097,0.9507,0.92673,0.97595,0.68691,1.28502,0.76477,1.21969,0.000410409,0.000410409,0.000410409
74,34.4513,0.8326,0.77429,1.007,0.96259,0.93095,0.97595,0.69343,1.30127,0.75353,1.25435,0.000396262,0.000396262,0.000396262
75,34.907,0.82769,0.81054,1.0193,0.96951,0.93333,0.98389,0.69819,1.29167,0.74356,1.25061,0.000382115,0.000382115,0.000382115
76,35.361,0.81427,0.72671,0.98695,0.97259,0.93333,0.98389,0.70383,1.24501,0.72317,1.23344,0.000367967,0.000367967,0.000367967
77,35.8191,0.83385,0.75888,1.04334,0.97708,0.93333,0.97595,0.68801,1.26359,0.72911,1.22652,0.00035382,0.00035382,0.00035382
78,36.2752,0.77946,0.70178,0.98082,0.97762,0.94089,0.995,0.69482,1.31928,0.75736,1.22436,0.000339673,0.000339673,0.000339673
79,36.7513,0.72129,0.80904,0.97006,0.98012,0.93953,0.995,0.66414,1.41942,0.76569,1.26116,0.000325526,0.000325526,0.000325526
80,37.2097,0.79873,0.79655,1.05773,0.9825,0.93753,0.995,0.63868,1.50428,0.76438,1.31249,0.000311379,0.000311379,0.000311379
81,37.6683,0.84421,0.79795,1.04379,0.97722,0.93731,0.995,0.60199,1.51831,0.7448,1.316,0.000297232,0.000297232,0.000297232
82,38.1211,0.74053,0.76032,0.97759,0.97794,0.93722,0.995,0.63853,1.46265,0.74011,1.28917,0.000283085,0.000283085,0.000283085
83,38.5811,0.79073,0.70761,0.96497,0.97508,0.93702,0.995,0.65312,1.39523,0.73086,1.24929,0.000268938,0.000268938,0.000268938
84,39.0625,0.80716,0.70419,0.97312,0.97425,0.93333,0.98389,0.65918,1.36832,0.74095,1.22893,0.000254791,0.000254791,0.000254791
85,39.5135,0.74472,0.70442,0.96214,0.97342,0.93333,0.98389,0.66717,1.37487,0.73843,1.23944,0.000240644,0.000240644,0.000240644
86,39.969,0.79998,0.78277,1.04671,0.97561,0.93333,0.97595,0.66305,1.38466,0.74522,1.25571,0.000226497,0.000226497,0.000226497
87,40.4254,0.71764,0.65936,0.95244,0.98072,0.93333,0.97595,0.64408,1.40553,0.73826,1.27021,0.000212349,0.000212349,0.000212349
88,40.8811,0.76853,0.69155,1.00337,0.98424,0.93333,0.97595,0.63483,1.42344,0.75052,1.27372,0.000198202,0.000198202,0.000198202
89,41.3446,0.78986,0.68157,0.95474,0.98649,0.93333,0.97595,0.6079,1.42548,0.7332,1.26655,0.000184055,0.000184055,0.000184055
90,41.7981,0.64506,0.63951,0.92966,0.9875,0.93333,0.97595,0.61455,1.41151,0.72497,1.25493,0.000169908,0.000169908,0.000169908
91,42.8312,0.65485,0.69654,0.91658,0.98869,0.93333,0.98389,0.63965,1.37725,0.70779,1.23187,0.000155761,0.000155761,0.000155761
92,43.3183,0.73828,0.75987,0.9534,0.98656,0.93333,0.98389,0.65717,1.34037,0.69148,1.21112,0.000141614,0.000141614,0.000141614
93,43.7665,0.65983,0.71089,0.94886,0.98441,0.93333,0.98389,0.65494,1.31384,0.67927,1.20117,0.000127467,0.000127467,0.000127467
94,44.2244,0.66197,0.72255,0.91872,0.98737,0.94286,0.995,0.66933,1.29758,0.67894,1.19624,0.00011332,0.00011332,0.00011332
95,44.6915,0.62778,0.68842,0.94846,0.988,0.94279,0.995,0.67193,1.29509,0.67455,1.19795,9.91726e-05,9.91726e-05,9.91726e-05
96,45.1402,0.65579,0.69967,0.9035,0.98884,0.94242,0.995,0.67029,1.30556,0.67015,1.20717,8.50255e-05,8.50255e-05,8.50255e-05
97,45.5858,0.67132,0.67948,0.90134,0.98953,0.94195,0.995,0.67526,1.31649,0.6751,1.215,7.08784e-05,7.08784e-05,7.08784e-05
98,46.0337,0.62515,0.73139,0.90645,0.99084,0.94101,0.995,0.68015,1.32044,0.66503,1.21924,5.67313e-05,5.67313e-05,5.67313e-05
99,46.4792,0.60118,0.73874,0.91816,0.99155,0.94012,0.995,0.67755,1.31891,0.66151,1.21888,4.25842e-05,4.25842e-05,4.25842e-05
100,46.9259,0.61886,0.68706,0.91794,0.99191,0.93972,0.995,0.67755,1.31791,0.66169,1.21745,2.84371e-05,2.84371e-05,2.84371e-05
